Gateway,1-1,33.64666756870,-117.84190766500
Gateway,1-2,33.64766972620,-117.84294944800
Gateway,1-3,33.64905062700,-117.84326021100
Gateway,1-4,33.64875839660,-117.84018051400
Social Sciences,2-1,33.64592655340,-117.84081307400
Social Sciences,2-2,33.64606502520,-117.83940622900
Social Sciences,2-3,33.64612104290,-117.83790359500
Social Sciences,2-4,33.64584902460,-117.83604996100
Social Sciences,2-5,33.64753420240,-117.83493064900
Social Sciences,2-6,33.64749906550,-117.83555632100
Social Sciences,2-7,33.64728632640,-117.83639726600
Social Sciences,2-8,33.64698289740,-117.83867286100
Social Sciences,2-9,33.64698289740,-117.83867286100
Social Sciences and Extension,2-10,33.64515980600,-117.83496751700
Engineering/ICS,3-1,33.64298076010,-117.83921851000
Engineering/ICS,3-2,33.64466315040,-117.83930455500
Engineering/ICS,3-3,33.64498992720,-117.84188141000
Engineering/ICS,3-4,33.64369467110,-117.84226771100
Physical Sciences,4-1,33.64470458540,-117.84350417800
Physical Sciences,4-2,33.64474871280,-117.84295282500
Physical Sciences,4-3,33.64409318760,-117.84281187900
Physical Sciences,4-4,33.64338574660,-117.84268124500
Physical Sciences,4-5,33.64235298720,-117.84498463900
Physical Sciences,4-6,33.64352173940,-117.84426847100
Physical Sciences,4-7,33.64331453610,-117.84636669700
Physical Sciences,4-8,33.64181279410,-117.84768307000
Biological Sciences,5-1,33.64590936780,-117.84415957600
Biological Sciences,5-2,33.64589616170,-117.84497922300
Biological Sciences,5-3,33.64675816390,-117.84530950100
Biological Sciences,5-4,33.64587952240,-117.84585411800
Biological Sciences,5-5,33.64626068160,-117.84647601300
Biological Sciences,5-6,33.64585967950,-117.84719095300
Biological Sciences,5-7,33.64503734510,-117.84571330300
Biological Sciences,5-8,33.64355679050,-117.84662987500
Humanities,6-1,33.64706638200,-117.84308130000
Humanities,6-2,33.64900163490,-117.84400662800
Humanities,6-3,33.64872022830,-117.84514179000
Arts,7-1,33.64960688080,-117.84483883100
Arts,7-2,33.64980280920,-117.84555047700
Arts,7-3,33.65033742390,-117.84532268500
Arts,7-4,33.64977357150,-117.84642352400
Arts,7-5,33.65140191260,-117.84670316200
Medical Sciences,8-1,33.64665645460,-117.84923204300
Medical Sciences,8-2,33.64593726420,-117.85064892700
Medical Sciences,8-3,33.64541586080,-117.84945746700
Medical Sciences,8-4,33.64372464840,-117.84945266000
Medical Sciences,8-5,33.64313033040,-117.85149235500
Medical Sciences,8-6,33.64580796140,-117.85184054000
Medical Sciences,8-7,33.64203518390,-117.85222243200
Medical Sciences,8-8,33.63922346390,-117.85074427300
Athletics/Central Plant,9-1,33.64907511430,-117.84601195800
Athletics/Central Plant,9-2,33.64762699560,-117.84612445500
Athletics/Central Plant,9-3,33.64805014260,-117.84895453400
Athletics/Central Plant,9-4,33.65287529890,-117.84652000600
North Campus,10-1,33.66239943120,-117.85687723400
North Campus,10-2,33.66387367300,-117.85569055500
North Campus,10-3,33.66506391680,-117.85367753700
University Research Park (URP),11-1,33.64836593820,-117.85414138800
University Research Park (URP),11-2,33.64418070620,-117.85620781100
University Research Park (URP),11-3,33.64174956770,-117.85580972700
University Research Park (URP),11-4,33.63924705130,-117.85476620600
University Research Park (URP),11-5,33.63780277700,-117.85093113900
University Research Park (URP),11-6,33.64674874320,-117.85910416400
University Hills,12-1,33.63608087720,-117.83549736100
Residential,13-1,33.64306621700,-117.82773248900
Residential,13-2,33.64385557010,-117.82862832300
Residential,13-3,33.65413542680,-117.84467794700
Residential,13-4,33.64518494620,-117.84740579500
Residential,13-5,33.64568932270,-117.83941187900
Residential,13-6,33.64583636500,-117.83798668700
Residential,13-7,33.64310386140,-117.83510326300
Residential,13-8,33.64034135570,-117.83244002500
Residential,13-9,33.64216471120,-117.83035665800
Residential,13-10,33.64617483360,-117.83334783400
Residential,13-11,33.64379896330,-117.83091621200
Residential,13-12,33.64710123930,-117.83005463200
Residential,13-13,33.64673715360,-117.82999888800
Residential,13-14,33.64649430810,-117.82760508600
Residential,13-15,33.64455678050,-117.83152040600
Residential,13-16,33.64440525280,-117.83076934700
Residential,13-17,33.64195864330,-117.82812480500
